"","Name","p_value","p_adj","time0","time12"
"200","158479027-stool1_revised_C731555_1_gene55905 strand:+  start:2 stop:1264 length:1263 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.371093369522698,1,0,0
"201","158479027-stool1_revised_C731575_1_gene116640 strand:-  start:535 stop:1404 length:870 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.422678074170635,1,0,0
"202","158479027-stool1_revised_C735781_1_gene51173 strand:+  start:3 stop:1529 length:1527 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",1,1,0,0
"203","158479027-stool1_revised_C737457_1_gene39156 strand:-  start:38 stop:745 length:708 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"204","158479027-stool1_revised_C742421_1_gene130974 strand:-  start:585 stop:1784 length:1200 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.371093369522698,1,0,0
"205","158479027-stool1_revised_C742633_1_gene16686 strand:-  start:675 stop:1796 length:1122 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.29450739368011,1,1.21422168071271e-05,0
"206","158479027-stool1_revised_C752565_1_gene54597 strand:-  start:902 stop:2437 length:1536 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.0759269629825577,1,0,7.31514935916652e-05
"207","158479027-stool1_revised_C759731_1_gene68957 strand:+  start:3 stop:2660 length:2658 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.100348246462291,1,0,0
"208","158479027-stool1_revised_C761637_1_gene52118 strand:+  start:3 stop:1175 length:1173 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.0224942712224497,0.9986982235232,0,4.65524771389917e-05
"209","158479027-stool1_revised_C774039_1_gene39175 strand:+  start:1 stop:1056 length:1056 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.18144920772142,1,0,0
"210","158479027-stool1_revised_scaffold10015_1_gene43657 strand:+  start:2 stop:1960 length:1959 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"211","158479027-stool1_revised_scaffold10911_1_gene45538 strand:-  start:3032 stop:4366 length:1335 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"212","158479027-stool1_revised_scaffold21436_1_gene37413 strand:+  start:1 stop:648 length:648 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"213","158479027-stool1_revised_scaffold21600_1_gene103903 strand:-  start:1 stop:1266 length:1266 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",1,1,0,0
"214","158479027-stool1_revised_scaffold21726_1_gene110618 strand:+  start:2 stop:3163 length:3162 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"215","158479027-stool1_revised_scaffold24212_1_gene111760 strand:+  start:3 stop:845 length:843 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",1,1,0,0
"216","158479027-stool1_revised_scaffold24818_1_gene23521 strand:+  start:2 stop:877 length:876 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.100348246462291,1,0,0
"217","158479027-stool1_revised_scaffold29486_1_gene68112 strand:+  start:3 stop:3305 length:3303 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.371093369522698,1,0,0
