taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Blautia_caecimuris,0.729681108708002,0.0024585147715864915,-0.03485368016734601,-0.6797825349348229,2.326345137907733,0.021553924405024488,0.027630247202432193,0.4601933550609591,0.31365986792667494,0.11406344039201423,-1.2614320788370639,-1.4771672112579202,0.7587555001358243,0.9109303038308137,0.22931917785314238,0.1634429805247343,1,1,0.5486514909383593,0.27709538420087404,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3550_SGB4746,-6.3247301961566444,0.07477005921354753,0.017293813406019987,0.8505138091225771,2.3161841976969835,0.021545552182494092,0.02704660907384341,0.17456983619764668,-2.7306680541406934,3.4703245746608764,0.6394078222080977,4.872054804242536,0.2234808196693725,0.17860813653627136,0.6378314839350667,0.128877701482124,0.6000344548891425,0.5379256818033584,1,0.2275358039960258,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3653_SGB4964,-23.983163322992088,0.2213379176252572,0.24353561024857687,-1.6639681317118427,2.3401993813836004,0.022009875086478697,0.02738049828324363,0.3157918892848952,-10.2483418779525,10.056300490375408,8.894491536613717,-5.269192110917944,0.009387366094234963,0.009744049959254304,0.012405584362963825,0.034181383050995835,0.1501978575077594,0.1312882520825843,0.22461633447408283,0.09364464697496139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Phocaeicola_vulgatus,5.930228407161807,-0.06392282315738582,-0.07080753633145925,1.096892031743574,2.5574529217663216,0.023007255972196054,0.032567972493652037,0.5682841160137188,2.3188025698107695,-2.7783766666757503,-2.1741462826788083,1.9301824577428348,0.036040831959129285,0.014796539607693587,0.047336026491204004,0.07409670939398501,0.2883266556730343,0.17217791543497993,0.3366117439374507,0.15070932031458673,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Streptococcus_gordonii,-3.4736033175280094,0.0024850944205649533,0.03402027046087482,2.8456877100461306,2.2952828001717474,0.02189010440349945,0.026847151824765395,0.31467921909981095,-1.5133661600514292,0.11352592818916273,1.2671835985779512,9.04313833683287,0.18095276799198828,0.91331695798509,0.2520505867806861,1.0247090382592595e-4,0.5324587196086092,1,0.5781084395503697,0.0030008306334215096,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Intestinibacter_bartlettii,0.276210481089101,-0.009668897558804441,0.022173208843728393,-1.1221124838283294,2.272363044094789,0.021228118283528084,0.02818988057379653,0.4138781894674154,0.12155209169014244,-0.45547596021767994,0.7865662568410863,-2.7112143436992424,0.9056616174052461,0.6584966234623142,0.4497738773899629,0.021887938422699028,1,1,0.8449417338582412,0.07183733636167886,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Oscillospiraceae_bacterium_CLA_AA_H250,1.621333413127558,-0.023301675896054308,-0.012931288805402247,0.6780584415674057,2.29178539378862,0.02091369726818166,0.02810972866535118,0.345737902512302,0.707454291977698,-1.1141825186264767,-0.4600289444039247,1.9611920956316875,0.5058204353642686,0.307831920507624,0.6616945075905863,0.09753383741892999,0.8932407910942739,0.6793532038788943,1,0.17946224750442913,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Tyzzerella_nexilis,2.1427400054070844,-0.015619192155122462,-0.012991191516282813,-2.0504973021909363,2.3410589881051505,0.02176352519145869,0.028513298778041433,0.3255521294646867,0.9152866357893078,-0.7176774910184296,-0.45561867875798173,-6.298522161604715,0.4275341379073741,0.5247931716504824,0.6796200216876307,0.008085078743719755,0.8354865595747157,0.8838621838323915,1,0.0369603599712903,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Dialister_pneumosintes,-10.510437767329904,0.09152570308964528,0.12697259740134834,0.14493549283811238,2.3353677972892264,0.021726719177814637,0.027258311852154247,0.1746752376433819,-4.500549240907524,4.2125873833313525,4.658124028004089,0.8297426400759428,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_rogosae,-10.911775722802968,0.11500579740407815,0.1212120018088726,-1.4096209678614136,2.32036388304979,0.021485861790366503,0.027830667074855427,0.38522150210942613,-4.702614017789736,5.352626695925348,4.355339434834667,-3.6592478876243937,0.009290382101697917,0.0058752822190725595,0.012106274260968101,0.021594614940728212,0.1501978575077594,0.09400451550516095,0.22461633447408283,0.07179508343930419,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
