"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Aggregatibacter_sp_2125159857","T12",34,0,0,0,0,0,0
"Akkermansia_muciniphila","T0",34,23.52941176470588,0.015811840914889734,0.04753252918422999,0,0,0.537602591106251
"Akkermansia_muciniphila","T12",34,44.11764705882353,0.036243697486721994,0.12792790219753097,0,0.0024454137068260938,1.2322857145485477
"Alistipes_communis","T0",34,14.705882352941178,1.1766500762380341e-4,4.48134783222301e-4,0,0,0.004000610259209316
"Alistipes_communis","T12",34,17.647058823529413,2.5448913808505605e-5,7.746985270231711e-5,0,0,8.652630694891905e-4
"Alistipes_dispar","T0",34,17.647058823529413,3.5477262178482767e-4,0.0015805170479852911,0,0,0.012062269140684142
"Alistipes_dispar","T12",34,11.76470588235294,1.4492908911287885e-4,5.745155926661673e-4,0,0,0.004927589029837881
"Alistipes_finegoldii","T0",34,14.705882352941178,6.834278542606173e-5,3.0076359029249555e-4,0,0,0.0023236547044860984
"Alistipes_finegoldii","T12",34,20.588235294117645,1.5095125520102372e-4,5.070659916789619e-4,0,0,0.005132342676834807
"Alistipes_ihumii","T0",34,8.823529411764707,1.1640984262286656e-5,4.40608073463653e-5,0,0,3.957934649177463e-4
"Alistipes_ihumii","T12",34,14.705882352941178,2.583615852024345e-4,0.0013213070848928125,0,0,0.008784293896882773
"Alistipes_indistinctus","T0",34,5.88235294117647,4.825765885082951e-5,2.500289765466584e-4,0,0,0.0016407604009282034
"Alistipes_indistinctus","T12",34,5.88235294117647,2.350428076465355e-6,1.2134167950296676e-5,0,0,7.991455459982206e-5
"Alistipes_onderdonkii","T0",34,32.35294117647059,3.236318350523288e-4,7.82564049183452e-4,0,1.440320552934155e-4,0.011003482391779179
"Alistipes_onderdonkii","T12",34,38.23529411764706,0.001270060462076903,0.006235202713900684,0,1.634128096846126e-4,0.043182055710614696
"Alistipes_putredinis","T0",34,14.705882352941178,3.0139302601321047e-4,0.0015313188507876708,0,0,0.010247362884449156
"Alistipes_putredinis","T12",34,8.823529411764707,2.8956837131201298e-6,1.0235574223620613e-5,0,0,9.845324624608441e-5
"Alistipes_shahii","T0",34,5.88235294117647,6.224207362196028e-6,3.4303834066147176e-5,0,0,2.1162305031466493e-4
"Alistipes_shahii","T12",34,14.705882352941178,1.006849815620727e-4,3.880735600714506e-4,0,0,0.0034232893731104717
"Alistipes_timonensis","T0",34,2.941176470588235,1.7368027044761668e-7,1.0127213020637746e-6,0,0,5.905129195218967e-6
"Alistipes_timonensis","T12",34,2.941176470588235,4.338847058417528e-5,2.5299608476723643e-4,0,0,0.0014752079998619594
"Allisonella_histaminiformans","T0",34,2.941176470588235,1.2646217972185064e-4,7.373948864753918e-4,0,0,0.004299714110542922
"Allisonella_histaminiformans","T12",34,5.88235294117647,2.035808136298316e-5,1.0479695372107925e-4,0,0,6.921747663414275e-4
"Alloprevotella_SGB1466","T0",34,0,0,0,0,0,0
"Alloprevotella_SGB1466","T12",34,0,0,0,0,0,0
"Alloprevotella_SGB1483","T0",34,0,0,0,0,0,0
"Alloprevotella_SGB1483","T12",34,0,0,0,0,0,0
"Alloprevotella_SGB1484","T0",34,0,0,0,0,0,0
"Alloprevotella_SGB1484","T12",34,0,0,0,0,0,0
"Alloprevotella_sp_Lung230","T0",34,0,0,0,0,0,0
"Alloprevotella_sp_Lung230","T12",34,0,0,0,0,0,0
"Alloprevotella_sp_oral_taxon_473","T0",34,0,0,0,0,0,0
"Alloprevotella_sp_oral_taxon_473","T12",34,0,0,0,0,0,0
"Alloprevotella_tannerae","T0",34,0,0,0,0,0,0
"Alloprevotella_tannerae","T12",34,0,0,0,0,0,0
