FeatureID,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Anaerostipes_caccae,0,0,0,0,0,0,0,0,0,0,0,9.729427151493936e-5,0,5.210878761299678e-4,0,1.2917955958782708e-5,0,0
Bifidobacterium_breve,3.760918796505985e-5,0,0,0,0,0,0,0,0.011134748127500411,0,0,0,0,0,0,0,0,0
Acidaminococcus_intestini,0,0,0.0033289048091769222,0.005772428644737852,0,0,0,0,7.319559335474191e-4,0,0,0,0,0,0,0,0,0
Dialister_invisus,1.0979456486573924e-4,0,0.10193845335223367,0.05131328595628517,0,0.19695977288030925,5.573253844340125e-5,0.0014639568376473382,1.579141069501345e-4,0.0021729021763911716,0,5.23675073832741e-4,0.08934098906113674,8.656815085008528e-4,0,0,0,0
Parasutterella_SGB9260,0,0,8.564394218277406e-4,0.0010701721736173014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus_bromii,0.006344831769653833,0.004827224026464624,0.008079916729965546,0,0,0,0.30521407520739535,0.05771865565464304,0,0.015166702793141277,0,0.168878960280143,0.0736927054365331,0.06453276865963899,0,0.0054122229899560385,0,0.1751429492974201
Mediterraneibacter_faecis,0,0,8.015667791005341e-4,0.001070272499123406,0,0,0,0,0,0.05794870334696916,0,0.13533784402347,0.00387549993539981,0.005377157578915684,9.061676462385805e-5,0,0,0
Faecalicatena_fissicatena,0,0,3.792072533322877e-4,0.0011367883096707267,0,0,0,0,0,1.586089255318061e-4,0,0,0,1.5050053565244408e-4,4.999995981518198e-4,0.004748500415577653,0,0
Blautia_obeum,7.305483662245228e-4,0.0088958256655533,4.4857053569231e-5,5.398515483486171e-4,1.7213408394594503e-4,0.032729610095787606,0.0019485300467671312,0.0029149949248487017,0,0.005247930213676902,0,8.822019437883103e-5,0,0,0.003055954947996827,0.0015077958362123352,1.018424509384076e-5,1.1138321439947785e-4
Collinsella_aerofaciens,0.02273475412487868,0.15282033208067075,0.0019079697345943457,0,0.0010491066139787862,0.00234207591927464,0.005702995177076836,0.16440351353678145,0.03267910200179176,0.06470752895114183,0,0,0.0027989323936247644,0,0.20747853527945728,0,0.005069636540426059,0.004055429811612256
Eubacterium_ramulus,0.003910041248786801,7.254995790101064e-4,0.0012922240990205073,5.427609880256492e-4,0,0,0,0,0,0,0,0,0,0.005529377542730824,0,0,0,0
Roseburia_lenta,0,0,0.006912461300136415,0.0033632119411430386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
