FeatureID,Rank,Taxon,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Blautia_wexlerae,Species,Blautia_wexlerae,0.0094629569718537691,0.3964930250970818,0.09640537308655632,2.1722980209289036,0,0,0.08123896144272362,1.7883688654480854,0.0947484641700807,3.675867120610358,0.5473938188466609,3.729990147568692,0.49412240564766263,6.7536306231369485,0.12857132523903939,1.8738846997326284,0.11271236797916041,0.3804041999778034
Bifidobacterium_longum,Species,Bifidobacterium_longum,4.1987018764154,29.084637681507488,0.15379256798533975,0,9.699370860048711,0.0028464655830515383,3.113701608591688,3.3895470554887583,22.13151179010169,0.9315717783589651,46.30923470104519,9.161208441230832,1.865395708644651,0,9.263655403933772,3.2468230840868806,4.832605798425153,1.1638695269235646
Bifidobacterium_pseudocatenulatum,Species,Bifidobacterium_pseudocatenulatum,0.03095681009382077,31.365708426822707,0,0,0,2.7271159055550798,7.587889711030303,3.4036971243366145,35.16540751208228,0.19940410366005634,0,0,0,0,0,0.5623116131422677,2.265601280351193,5.214996123603945
Anaerobutyricum_soehngenii,Species,Anaerobutyricum_soehngenii,0.12314987059204141,0,0.29598196938234395,1.3679683733874557,0,0,0.15782852373242115,0.30808191981513267,0,3.438946291328303,0.05948866185757427,1.783610684181383,0.5129244879527038,3.703911233813101,0.03548319430725794,0,0,0
Streptococcus_mutans,Species,Streptococcus_mutans,0,0,0.0012679309678713753,0,0,0,0,0.01823764223115298,0,0,0,0,0,0,0,0,0,0
Anaerobutyricum_hallii,Species,Anaerobutyricum_hallii,0.03285748948560337,0.26461221196916196,0.004048855191522038,0.15462167000834207,0,0,0,0,0.009078057163503924,0.2591180581775934,1.5353401803204376,0,0.05628349120910585,0,1.244845292469124,0.1451517609477173,0.1044540543832638,0.20096013731859072
Veillonella_parvula,Species,Veillonella_parvula,0,0,0.006254415782693254,0.005016275305227812,0.07208367903595192,0.38414163366734894,0,0,0.007084090965339156,0.018607975081354748,0,0,0.12144631182015717,0.01435216801685606,0,0,0,0.25998423422138683
Coprococcus_catus,Species,Coprococcus_catus,0,0.036765316597008706,0,0,0.004870382022235268,0,0.2061702246453101,0.42249360345229386,0,0.3719890622001645,2.903839747297852e-4,0.4458799858525055,0.112075959594141,0,0.17716481642369586,0.427924815493536,0,0
Blautia_stercoris,Species,Blautia_stercoris,0,0,0,0.005457707532087859,0,0,0,0,0,0,0,0,0,0,0.04422339222552363,0,0,0
Dorea_formicigenerans,Species,Dorea_formicigenerans,0,0.012788806372067805,0.010686846729201591,0.21842869189083983,0,0,0,0.059083097742761236,0.006543014710560777,0.30947789591123837,0,0.5641252932439261,3.1087882548977226,1.1688976078506257,0.038396593613346505,0.3880393747308759,0,0.008666474723265752
