FeatureID,Rank,Taxon,A1E0,A1E12,A3E0,A3E12,A4E0,A4E12,A6E0,A6E12,A7E0,A7E12,A8E0,A8E12,A9E0,A9E12,A10E0,A10E12,A13E0,A13E12,A16E0,A16E12,A17E0,A17E12,A19E0,A19E12,A22E0,A22E12,A24E0,A24E12,A25E0,A25E12,A27E0,A27E12,A28E0,A28E12,A30E0,A30E12,P2E0,P2E12,P3E0,P3E12,P4E0,P4E12,P5E0,P5E12,P11E0,P11E12,P14E0,P14E12,P17E0,P17E12,P20E0,P20E12,P25E0,P25E12,P26E0,P26E12,P27E0,P27E12,P42E0,P42E12
Schaalia_SGB17157,Species,Schaalia_SGB17157,0.126176120910704,0,0.32433006486601296,1.169085984407914,0,0,0,0,0,0,0.15787720529747828,0,0,0,0,0,0,8.37344,0,0,0,0,0,0,0.7053799294620071,3.1939296003104896,0,0,0,0,0,0,0,0,0,3.6538735466410266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28292891361730826,0,0.89955,0,0,0,0,0.3709279965714607,0,0,0
Turicibacter_bilis,Species,Turicibacter_bilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_finegoldii,Species,Alistipes_finegoldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGB3637_SGB4930,Species,GGB3637_SGB4930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_sp_ph3,Species,Actinomyces_sp_ph3,0.10638614950881833,0,0.09400001880000376,0.410572638518818,0,0,0,0.75898,0,0,0.05318308306563004,0,0,0,0,0,0,0,0,0,0,0,0,0.08326894488552296,1.6090498390950159,0.15403583332105666,0,0,1.0171154797819069,0,0.46408417206218916,0,0.013609998639000136,0,0,0.047123389225841014,0,0,0,0,0,0,0,0,1.701100340220068,0,0,0,0,0,0.2722899183130245,0,0,0,0,0,0.1385487778672656,0,0,0
Veillonella_dispar,Species,Veillonella_dispar,1.150457673195116,3.3703683675521576,0,1.6401874671643037,0,0,1.0630998936900107,3.71461,0,0,0,0,0,0,0,0,0,2.29753,0,0,0,0,0,0,0.045979995402000456,0.48559743114437726,0,0.48875,0,0.8619811722906722,0,0.5231499476850052,0,0,0,0.9238834852450578,0,0,0,0,1.1316497736700453,3.550215277659652,4.559220455922046,5.11448937329165,0,0,0.07780000778000078,0,0,0.07552459040605039,0,0,0,0,0,0,0.0872848292841453,0,4.274366290795988,0
Ruthenibacterium_lactatiformans,Species,Ruthenibacterium_lactatiformans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseburia_faecis,Species,Roseburia_faecis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_oris,Species,Actinomyces_oris,0.4017404336512607,0.06780777346856812,0,0.01520231395642524,0,0,0,0,0,0,0.005872298755163316,0,0,0,0,0,0,0,0,0,0,0,0,0.5011143711914062,0,1.4917122300550214,0,0,0.204697265675788,2.3328423294366294,0.06656788440564325,0,0,0,0,0.09204134718263236,0,0,0,0,0.13370997325800535,0.3677981042758356,1.5698601569860158,0,0,0,0,0,0,0.03954267665379734,0,0,0,0,0,0,0.2837232359301629,0,0,0
Bacteroides_fragilis,Species,Bacteroides_fragilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
